"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "CSS", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\A\TravelX-Website\ang\src\app\notfound\notfound.component.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\A\TravelX-Website\ang\src\app\notfound\notfound.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\notfound\notfound.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\A\TravelX-Website\ang\src\app\pager.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\A\TravelX-Website\ang\src\app\pager.service.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 2, 16, 76
"c:\Users\A\TravelX-Website\ang\src\app\pagination\pagination.component.css", "CSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\A\TravelX-Website\ang\src\app\pagination\pagination.component.html", "HTML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\A\TravelX-Website\ang\src\app\pagination\pagination.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\pagination\pagination.component.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\A\TravelX-Website\ang\src\app\post.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\A\TravelX-Website\ang\src\app\post\post.component.css", "CSS", 0, 0, 0, 0, 60, 0, 0, 0, 6, 8, 74
"c:\Users\A\TravelX-Website\ang\src\app\post\post.component.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 0, 2, 1, 17
"c:\Users\A\TravelX-Website\ang\src\app\post\post.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\post\post.component.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\A\TravelX-Website\ang\src\app\routeguard.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\A\TravelX-Website\ang\src\app\routeguard.service.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 1, 5, 21
"c:\Users\A\TravelX-Website\ang\src\app\signup\signup.component.css", "CSS", 0, 0, 0, 0, 213, 0, 0, 0, 9, 35, 257
"c:\Users\A\TravelX-Website\ang\src\app\signup\signup.component.html", "HTML", 0, 0, 0, 0, 0, 57, 0, 0, 1, 8, 66
"c:\Users\A\TravelX-Website\ang\src\app\signup\signup.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\signup\signup.component.ts", "TypeScript", 0, 0, 0, 124, 0, 0, 0, 0, 5, 26, 155
"c:\Users\A\TravelX-Website\ang\src\app\slider\slider.component.css", "CSS", 0, 0, 0, 0, 41, 0, 0, 0, 1, 5, 47
"c:\Users\A\TravelX-Website\ang\src\app\slider\slider.component.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 1, 1, 24
"c:\Users\A\TravelX-Website\ang\src\app\slider\slider.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\slider\slider.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 1, 10, 30
"c:\Users\A\TravelX-Website\ang\src\app\tourpackages\package\package.component.css", "CSS", 0, 0, 0, 0, 89, 0, 0, 0, 7, 17, 113
"c:\Users\A\TravelX-Website\ang\src\app\tourpackages\package\package.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 0, 17, 13, 72
"c:\Users\A\TravelX-Website\ang\src\app\tourpackages\package\package.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\tourpackages\package\package.component.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 3, 17, 66
"c:\Users\A\TravelX-Website\ang\src\app\tourpackages\tourpackages.component.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 1, 10, 49
"c:\Users\A\TravelX-Website\ang\src\app\tourpackages\tourpackages.component.html", "HTML", 0, 0, 0, 0, 0, 93, 0, 0, 31, 15, 139
"c:\Users\A\TravelX-Website\ang\src\app\tourpackages\tourpackages.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\tourpackages\tourpackages.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 2, 8, 32
"c:\Users\A\TravelX-Website\ang\src\app\user.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\userdash\userdash.component.css", "CSS", 0, 0, 0, 0, 149, 0, 0, 0, 16, 7, 172
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\userdash\userdash.component.html", "HTML", 0, 0, 0, 0, 0, 235, 0, 0, 26, 20, 281
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\userdash\userdash.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\userdash\userdash.component.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 0, 0, 6, 27, 156
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\userdashboard-routing.module.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\userdashboard.module.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\usericon\usericon.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\usericon\usericon.component.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 5
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\usericon\usericon.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\userdashboard\usericon\usericon.component.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\A\TravelX-Website\ang\src\assets\css\animate.css", "CSS", 0, 0, 0, 0, 2745, 0, 0, 0, 10, 517, 3272
"c:\Users\A\TravelX-Website\ang\src\assets\css\animations.css", "CSS", 0, 0, 0, 0, 1537, 0, 0, 0, 163, 132, 1832
"c:\Users\A\TravelX-Website\ang\src\assets\css\bootstrap4.3.1.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\A\TravelX-Website\ang\src\assets\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 5
"c:\Users\A\TravelX-Website\ang\src\assets\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2671, 0, 1, 2672
"c:\Users\A\TravelX-Website\ang\src\assets\js\bootstrap3.4.0.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\A\TravelX-Website\ang\src\assets\js\bootstrap4.3.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\A\TravelX-Website\ang\src\assets\js\css3-animate-it.js", "JavaScript", 0, 0, 0, 0, 0, 0, 207, 0, 206, 69, 482
"c:\Users\A\TravelX-Website\ang\src\assets\js\jquery-3.3.1.slim.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\A\TravelX-Website\ang\src\assets\js\jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\A\TravelX-Website\ang\src\assets\js\popper.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 4, 1, 6
"c:\Users\A\TravelX-Website\ang\src\assets\js\wow.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\A\TravelX-Website\ang\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\A\TravelX-Website\ang\src\environments\environment.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 11, 3, 17
"c:\Users\A\TravelX-Website\ang\src\index.html", "HTML", 0, 0, 0, 0, 0, 53, 0, 0, 41, 12, 106
"c:\Users\A\TravelX-Website\ang\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\A\TravelX-Website\ang\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 55, 8, 64
"c:\Users\A\TravelX-Website\ang\src\styles.css", "CSS", 0, 0, 0, 0, 74, 0, 0, 0, 1, 23, 98
"c:\Users\A\TravelX-Website\ang\src\test.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 4, 21
"c:\Users\A\TravelX-Website\ang\tsconfig.app.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\A\TravelX-Website\ang\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\A\TravelX-Website\ang\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\A\TravelX-Website\ang\tslint.json", "JSON", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91
"Total", "-", 13662, 22, 40, 2819, 5702, 1018, 272, 2671, 940, 1706, 28852
